chip_stem,region,sza_bin,ic_frac
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1280_c2816,KQ,sza_lt65,0.5428466796875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1280_c3072,KQ,sza_lt65,0.213134765625
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1280_c3328,KQ,sza_lt65,0.3893585205078125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1536_c2816,KQ,sza_lt65,0.3805694580078125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1536_c3072,KQ,sza_lt65,0.2790374755859375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1536_c3328,KQ,sza_lt65,0.197662353515625
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1792_c3072,KQ,sza_lt65,0.614959716796875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1792_c3328,KQ,sza_lt65,0.2955322265625
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r2048_c3072,KQ,sza_lt65,0.5859375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r3072_c2048,KQ,sza_lt65,0.179656982421875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r3072_c2304,KQ,sza_lt65,0.178314208984375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r3072_c2560,KQ,sza_lt65,0.168548583984375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c1536,KQ,sza_lt65,0.7902984619140625
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c1792,KQ,sza_lt65,0.9759521484375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c2048,KQ,sza_lt65,0.673919677734375
