chip_stem,region,sza_bin,ic_frac,n_polys_prod,n_polys_le_1px,n_polys_le_2px,n_polys_prod_kept,area_m2_prod_kept,n_polys_open,n_polys_open_kept,area_m2_open_kept
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r10240_c10496,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r10240_c9984,KQ,sza_lt65,0.019500732421875,59,18,27,59,127800.0,13,13,114600.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r10496_c10240,KQ,sza_lt65,0.018463134765625,27,0,0,27,121000.0,26,26,115600.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r10496_c10496,KQ,sza_lt65,0.0004730224609375,2,0,0,2,3100.0,2,2,2700.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r10496_c9984,KQ,sza_lt65,0.025665283203125,55,6,10,55,168200.0,37,37,155200.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r9216_c10496,KQ,sza_lt65,0.121734619140625,795,218,362,795,797800.0,223,223,592800.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r9472_c10240,KQ,sza_lt65,0.148040771484375,984,261,427,984,970200.0,274,274,684200.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r9728_c10496,KQ,sza_lt65,0.0983428955078125,36,7,12,36,644500.0,22,22,625500.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r9984_c10240,KQ,sza_lt65,0.02392578125,196,76,105,196,156800.0,32,32,111500.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r9984_c10496,KQ,sza_lt65,9.1552734375e-05,4,3,3,4,600.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r9984_c9984,KQ,sza_lt65,0.08355712890625,613,176,292,613,547600.0,156,156,392400.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c0000,KQ,sza_lt65,0.0714111328125,529,162,255,529,468000.0,125,125,336300.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c0256,KQ,sza_lt65,0.014984130859375,146,63,82,146,98200.0,21,21,65100.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c0512,KQ,sza_lt65,9.1552734375e-05,4,3,3,4,600.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c0768,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c1024,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c10240,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c10496,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c1280,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c1536,KQ,sza_lt65,0.0180511474609375,4,0,0,4,118300.0,3,3,115000.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c1792,KQ,sza_lt65,0.01129150390625,8,2,3,8,74000.0,6,6,70000.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c2048,KQ,sza_lt65,0.039215087890625,28,7,13,28,257000.0,14,14,242600.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c2304,KQ,sza_lt65,0.000762939453125,9,2,4,9,5000.0,2,2,2800.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c2560,KQ,sza_lt65,0.0010986328125,12,3,6,12,7200.0,4,4,4900.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c2816,KQ,sza_lt65,0.0166473388671875,192,49,78,192,109100.0,51,51,56000.0
