chip_stem,region,sza_bin,otsu_thresh,ice_px_otsu,ice_px_floor_0p3,ice_px_floor_0p5,ice_px_floor_0p7
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c4096,SK,sza_gt75,0.3492342233657837,219,219,178,113
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r5888_c6144,SK,sza_gt75,0.40467357635498047,312,312,281,233
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r6400_c5120,SK,sza_gt75,0.43973055481910706,3466,3466,3311,2841
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r6656_c4864,SK,sza_gt75,0.4435007870197296,1673,1673,1629,1422
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r7168_c4864,SK,sza_gt75,0.4633420407772064,3224,3224,3178,2893
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8704_c2816,SK,sza_gt75,0.03860872983932495,176,1,0,0
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9216_c4096,SK,sza_gt75,0.4120935797691345,1857,1857,1709,1366
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10496_c1792,KQ,sza_70_75,0.3009853959083557,68,68,48,24
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9984_c1792,KQ,sza_70_75,0.44751888513565063,3600,3600,3480,3047
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWT_20240715T155321_r2560_c2560,KQ,sza_gt75,0.45535606145858765,4353,4353,4271,3829
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWT_20240715T155321_r3072_c1536,KQ,sza_gt75,0.4112192392349243,395,395,371,304
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWT_20240715T155321_r5376_c0768,KQ,sza_gt75,0.006789464969187975,1056,0,0,0
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWT_20240715T155321_r5632_c0512,KQ,sza_gt75,0.3589136302471161,103,103,89,62
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWT_20240715T155321_r5632_c1536,KQ,sza_gt75,0.0067724743857979774,1084,0,0,0
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWU_20240715T155321_r6656_c5376,SK,sza_gt75,0.4748653173446655,9682,9682,9608,8942
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3584_c3584,KQ,sza_65_70,0.006681528873741627,1653,0,0,0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3840_c3840,KQ,sza_65_70,0.44335782527923584,1072,1072,1037,896
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4096_c5376,KQ,sza_65_70,0.3419519364833832,236,236,190,118
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4608_c6656,KQ,sza_65_70,0.33884555101394653,48,48,38,23
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c5632,KQ,sza_65_70,0.15550312399864197,12,7,2,0
