chip_stem,sza_bin,radius_px,n_recovered,total_recovered_m2,max_area_m2,median_area_m2,has_base_mask
fisser_0354,sza_lt65,15,27,86800.0,7100.0,2800.0,False
fisser_0354,sza_lt65,20,27,90600.0,7300.0,2800.0,False
fisser_0357,sza_lt65,5,2,6100.0,3500.0,3050.0,False
fisser_0357,sza_lt65,10,5,24600.0,15800.0,1800.0,False
fisser_0357,sza_lt65,15,6,76700.0,65700.0,2300.0,False
fisser_0357,sza_lt65,20,10,150800.0,98300.0,2550.0,False
fisser_0386,sza_lt65,5,94,1857800.0,1194100.0,3500.0,False
fisser_0386,sza_lt65,10,40,2501700.0,2341000.0,2800.0,False
fisser_0386,sza_lt65,15,35,2789100.0,2641900.0,2600.0,False
fisser_0386,sza_lt65,20,25,3033900.0,2955200.0,2500.0,False
fisser_0389,sza_lt65,5,24,159200.0,31800.0,5150.0,False
fisser_0389,sza_lt65,10,24,176500.0,38800.0,5200.0,False
fisser_0389,sza_lt65,15,25,181200.0,39200.0,5100.0,False
fisser_0389,sza_lt65,20,25,182400.0,39400.0,5100.0,False
S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9728_c9984,sza_65_70,5,51,106900.0,4800.0,1900.0,True
S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9728_c9984,sza_65_70,10,69,170500.0,9700.0,2200.0,True
S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9728_c9984,sza_65_70,15,85,252400.0,17100.0,2300.0,True
S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9728_c9984,sza_65_70,20,105,334800.0,21300.0,2400.0,True
S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r10496_c3072,sza_65_70,5,17,79900.0,13400.0,3400.0,True
S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r10496_c3072,sza_65_70,10,24,134500.0,33400.0,3200.0,True
S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r10496_c3072,sza_65_70,15,26,188100.0,34500.0,3650.0,True
S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r10496_c3072,sza_65_70,20,27,213900.0,34700.0,3500.0,True
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r0512_c4352,sza_65_70,5,4,8300.0,2400.0,2150.0,True
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r0512_c4352,sza_65_70,10,4,8300.0,2400.0,2150.0,True
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r0512_c4352,sza_65_70,15,4,8400.0,2400.0,2200.0,True
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r0512_c4352,sza_65_70,20,4,9200.0,3000.0,2250.0,True
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r2560_c3328,sza_65_70,5,1,58400.0,58400.0,58400.0,True
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r2560_c3328,sza_65_70,10,3,80000.0,76000.0,2300.0,True
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r2560_c3328,sza_65_70,15,4,94100.0,80500.0,5750.0,True
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r2560_c3328,sza_65_70,20,4,97200.0,81900.0,6450.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r2816_c5376,sza_65_70,5,61,190900.0,14500.0,2300.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r2816_c5376,sza_65_70,10,86,436100.0,32000.0,2650.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r2816_c5376,sza_65_70,15,91,656600.0,123300.0,2600.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r2816_c5376,sza_65_70,20,87,889300.0,177600.0,2800.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3584_c4352,sza_65_70,5,11,38200.0,8500.0,2800.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3584_c4352,sza_65_70,10,14,56700.0,14000.0,2500.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3584_c4352,sza_65_70,15,14,59600.0,16100.0,2500.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3584_c4352,sza_65_70,20,14,63800.0,19600.0,2500.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3840_c4864,sza_65_70,5,24,48300.0,3600.0,1700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3840_c4864,sza_65_70,10,28,58900.0,4100.0,1800.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3840_c4864,sza_65_70,15,29,64200.0,8200.0,1800.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3840_c4864,sza_65_70,20,30,68700.0,8700.0,1800.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4608,sza_65_70,5,13,25600.0,2800.0,1900.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4608,sza_65_70,10,13,26700.0,2900.0,1900.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4608,sza_65_70,15,14,28700.0,3000.0,1850.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4608,sza_65_70,20,14,28700.0,3000.0,1850.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4864,sza_65_70,5,42,87400.0,7100.0,1800.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4864,sza_65_70,10,47,109900.0,9600.0,2000.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4864,sza_65_70,15,48,116700.0,9800.0,2100.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4864,sza_65_70,20,52,127600.0,9900.0,2000.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4608_c7168,sza_65_70,5,8,31800.0,8100.0,2900.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4608_c7168,sza_65_70,10,11,80100.0,34800.0,3100.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4608_c7168,sza_65_70,15,10,120000.0,39000.0,5450.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4608_c7168,sza_65_70,20,9,153800.0,51400.0,6600.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4864_c4608,sza_65_70,5,56,401400.0,38400.0,3800.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4864_c4608,sza_65_70,10,40,676600.0,259900.0,3550.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4864_c4608,sza_65_70,15,39,746500.0,280000.0,3600.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4864_c4608,sza_65_70,20,40,770500.0,289400.0,3650.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5376_c4864,sza_65_70,5,0,0.0,0.0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5376_c4864,sza_65_70,10,0,0.0,0.0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5376_c4864,sza_65_70,15,0,0.0,0.0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5376_c4864,sza_65_70,20,0,0.0,0.0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5632_c4352,sza_65_70,5,4,43300.0,37200.0,2150.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5632_c4352,sza_65_70,10,3,59300.0,48300.0,8200.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5632_c4352,sza_65_70,15,3,63700.0,51100.0,9800.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5632_c4352,sza_65_70,20,3,65400.0,51600.0,11000.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7168_c3072,sza_65_70,5,40,454200.0,190400.0,3750.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7168_c3072,sza_65_70,10,29,852500.0,578300.0,5700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7168_c3072,sza_65_70,15,21,1114400.0,995500.0,3500.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7168_c3072,sza_65_70,20,21,1227000.0,1080500.0,3300.0,True
