chip_stem,n_existing_annotations,n_missed_candidates,missed_areas_m2
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r6912_c5632,1,115,1600;7200;11300;2700;10300;7500;2400;2700;3800;3500;5300;2200;1600;4800;10500;3400;2700;4100;5600;15400;2300;1800;2400;7700;5200;7400;2600;10400;3900;4400;2000;4100;6000;2100;2300;7800;3600;2600;2200;2700;24600;2200;1800;5000;4700;3000;1800;3100;15000;3500;2000;6500;3000;6000;1800;9400;3800;41300;1900;16500;4400;1800;3200;3500;2100;28900;3600;82700;3300;4000;3100;3500;1600;3200;3600;3200;2700;3900;6400;9400;1700;7800;3200;4900;2200;1900;2300;2600;2100;1600;12100;2900;8800;1900;8700;2600;3200;4200;14400;8400;1700;3100;1700;6200;2200;3800;1700;3800;6600;17500;3700;1600;2600;1600;2600
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r10240_c1792,56,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r5376_c3840,49,1,6200
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r2560_c3328,75,1,1900
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6400_c5888,8,39,1800;2600;2200;1700;2500;7500;2200;20400;3800;1800;3800;6800;2400;1600;16800;8100;2500;1600;4100;2100;1900;1700;3500;1600;5100;2400;1800;1600;2900;5500;2800;1800;2400;1900;2500;2100;15200;8600;2100
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5120_c4864,2,39,15100;13600;2900;37100;2100;2700;1900;31200;3500;17400;2000;1600;2800;3400;1700;1700;1600;4600;2500;2300;2200;3000;1900;2700;1700;1600;4600;2300;7300;2200;18900;1900;1900;2900;5100;3400;2100;2000;1800
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4608_c7168,7,1,1800
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r7168_c5120,88,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r6656_c3840,50,1,3800
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8704_c4352,1,3,5300;8800;10900
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r2304_c3328,16,0,
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r5376_c5120,9,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r10240_c1792,7,1,54100
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r8448_c5120,8,1,19100
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r9984_c1536,66,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9472_c2048,3,0,
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5632_c4864,2,0,
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2304_c2304,5,5,40400;3400;3900;1800;11700
S2B_MSIL1C_20201009T140009_N0500_R010_T25WES_20230305T173153_r9472_c2048,31,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r1536_c3328,10,0,
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r7424_c3328,11,0,
S2A_MSIL1C_20181001T142141_N0500_R096_T24WVT_20230619T094106_r7424_c10240,1,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r4352_c5888,5,0,
S2B_MSIL1C_20201009T140009_N0500_R010_T25WEQ_20230305T173153_r0768_c1280,2,1,26900
S2B_MSIL1C_20201009T140009_N0500_R010_T25WES_20230305T173153_r10496_c3072,53,58,2800;6300;3500;3000;4300;10800;1600;7700;2300;8300;7900;1900;28100;1700;5900;1800;2600;2300;3200;8900;3400;1800;3500;2300;1600;10700;7900;5700;1800;4100;2100;1600;4000;15100;1800;17600;3400;2500;5100;2900;4500;11200;16900;5200;9600;4000;23800;1700;2100;5800;1900;2300;6100;10800;13300;1700;3600;2500
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r5120_c3584,35,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r5888_c4352,31,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r0512_c3072,1,8,14700;33600;12100;6600;13300;28400;6700;1900
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9472_c0256,42,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r6912_c0512,1,1,39600
