global_index,tif_path,tif_exists,satellite,date,hour_utc,tile,region,ic_frac,ic_note
143,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20170801T144919_N0500_R082_T22WES_20230804T124536_pB5_10_10_.tif,True,S2B,2017-08-01,14,T22WES,SK,0.0,otsu_failed
144,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20170801T144919_N0500_R082_T22WES_20230804T124536_pB5_25_23_.tif,True,S2B,2017-08-01,14,T22WES,SK,0.0,otsu_failed
145,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20190819T140739_N0500_R053_T25WES_20230512T221421_pB5_40_6_.tif,True,S2B,2019-08-19,14,T25WES,KQ,0.0,otsu_failed
146,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160923T145932_N0500_R125_T22WES_20231006T022513_pB5_12_13_.tif,True,S2A,2016-09-23,14,T22WES,SK,0.0,otsu_failed
147,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20200827T134729_N0500_R110_T25WER_20230402T232045_pB5_6_11_.tif,True,S2B,2020-08-27,13,T25WER,KQ,0.0,otsu_failed
148,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20200825T140021_N0209_R010_T25WER_20200825T174728_pB2_22_17_.tif,True,S2A,2020-08-25,14,T25WER,KQ,0.0105,ok
149,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20200830T135739_N0500_R010_T25WER_20230321T193340_pB5_23_17_.tif,True,S2B,2020-08-30,13,T25WER,KQ,0.011,ok
150,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20230807T152811_N0510_R111_T22WDB_20240821T092719_pB5_11_37_.tif,True,S2A,2023-08-07,15,T22WDB,SK,0.0,otsu_failed
151,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20180723T141951_N0500_R096_T24WWU_20230628T041823_pB5_11_27_.tif,True,S2A,2018-07-23,14,T24WWU,SK,0.0,otsu_failed
152,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20200827T134729_N0500_R110_T25WER_20230402T232045_pB5_33_5_.tif,True,S2B,2020-08-27,13,T25WER,KQ,0.1062,ok
153,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160923T145932_N0500_R125_T22WES_20231006T022513_pB5_17_3_.tif,True,S2A,2016-09-23,14,T22WES,SK,0.0,otsu_failed
154,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617_pB5_21_3_.tif,True,S2A,2016-07-25,14,T22WES,SK,0.0,otsu_failed
155,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160802T141952_N0500_R096_T24WWU_20231001T172901_pB5_6_17_.tif,True,S2A,2016-08-02,14,T24WWU,SK,0.6465,ok
156,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20240824T140041_N0511_R010_T25WER_20240824T174017_pB5_28_19_.tif,True,S2A,2024-08-24,14,T25WER,KQ,0.027,ok
157,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20180723T141951_N0500_R096_T24WWU_20230628T041823_pB5_6_19_.tif,True,S2A,2018-07-23,14,T24WWU,SK,0.7959,ok
158,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160823T135032_N0500_R110_T25WER_20230929T041536_pB5_41_3_.tif,True,S2A,2016-08-23,13,T25WER,KQ,0.0303,ok
159,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20200827T134729_N0500_R110_T25WER_20230402T232045_pB5_27_10_.tif,True,S2B,2020-08-27,13,T25WER,KQ,0.0,otsu_failed
160,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20200903T151809_N0500_R068_T22WDC_20230311T234131_pB5_13_22_.tif,True,S2B,2020-09-03,15,T22WDC,SK,0.0181,ok
161,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20190903T141011_N0500_R053_T24WWU_20230501T094031_pB5_8_30_.tif,True,S2A,2019-09-03,14,T24WWU,SK,0.0,otsu_failed
