chip_stem,region,sza_bin,ic_frac,n_polys_c4,n_polys_c8,area_m2_c4,area_m2_c8,delta_n,delta_area_m2
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0256_c10240,KQ,sza_lt65,7.62939453125e-05,4,4,500.0,500.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0256_c10496,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0256_c9984,KQ,sza_lt65,0.019287109375,45,44,126400.0,126400.0,1,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0512_c10240,KQ,sza_lt65,0.0213470458984375,37,37,139900.0,139900.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0512_c10496,KQ,sza_lt65,0.00054931640625,4,4,3600.0,3600.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0512_c9984,KQ,sza_lt65,0.0262451171875,62,61,172000.0,172000.0,1,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0768_c10240,KQ,sza_lt65,0.0606536865234375,341,333,397500.0,397500.0,8,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0768_c10496,KQ,sza_lt65,0.041534423828125,335,328,272200.0,272200.0,7,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0768_c9984,KQ,sza_lt65,0.044158935546875,397,391,289400.0,289400.0,6,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r10240_c10240,KQ,sza_lt65,0.0001220703125,5,5,800.0,800.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r10240_c10496,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r10240_c9984,KQ,sza_lt65,0.019500732421875,59,58,127800.0,127800.0,1,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r10496_c10240,KQ,sza_lt65,0.018463134765625,27,27,121000.0,121000.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r10496_c10496,KQ,sza_lt65,0.0004730224609375,2,2,3100.0,3100.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r10496_c9984,KQ,sza_lt65,0.025665283203125,55,54,168200.0,168200.0,1,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r9216_c10496,KQ,sza_lt65,0.121734619140625,795,751,797800.0,797800.0,44,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r9472_c10240,KQ,sza_lt65,0.148040771484375,984,904,970200.0,970200.0,80,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r9728_c10496,KQ,sza_lt65,0.0983428955078125,36,30,644500.0,644500.0,6,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r9984_c10240,KQ,sza_lt65,0.02392578125,196,187,156800.0,156800.0,9,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r9984_c10496,KQ,sza_lt65,9.1552734375e-05,4,4,600.0,600.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDR_20230823T215140_r9984_c9984,KQ,sza_lt65,0.08355712890625,613,590,547600.0,547600.0,23,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c0000,KQ,sza_lt65,0.0714111328125,529,509,468000.0,468000.0,20,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c0256,KQ,sza_lt65,0.014984130859375,146,138,98200.0,98200.0,8,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c0512,KQ,sza_lt65,9.1552734375e-05,4,4,600.0,600.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c0768,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c1024,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c10240,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c10496,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c1280,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c1536,KQ,sza_lt65,0.0180511474609375,4,4,118300.0,118300.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c1792,KQ,sza_lt65,0.01129150390625,8,6,74000.0,74000.0,2,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c2048,KQ,sza_lt65,0.039215087890625,28,25,257000.0,257000.0,3,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c2304,KQ,sza_lt65,0.000762939453125,9,8,5000.0,5000.0,1,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c2560,KQ,sza_lt65,0.0010986328125,12,12,7200.0,7200.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c2816,KQ,sza_lt65,0.0166473388671875,192,182,109100.0,109100.0,10,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c3072,KQ,sza_lt65,0.0330963134765625,140,138,216900.0,216900.0,2,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c3328,KQ,sza_lt65,0.0289459228515625,125,124,189700.0,189700.0,1,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c3584,KQ,sza_lt65,0.024322509765625,129,126,159400.0,159400.0,3,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c3840,KQ,sza_lt65,0.045684814453125,110,104,299400.0,299400.0,6,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c4096,KQ,sza_lt65,0.0320281982421875,40,35,209900.0,209900.0,5,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c4352,KQ,sza_lt65,0.006317138671875,4,4,41400.0,41400.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c4608,KQ,sza_lt65,0.004913330078125,13,11,32200.0,32200.0,2,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c4864,KQ,sza_lt65,0.0002593994140625,1,1,1700.0,1700.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c5120,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c5376,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c5632,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c5888,KQ,sza_lt65,0.013641357421875,4,3,89400.0,89400.0,1,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c6144,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c6400,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c6656,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c6912,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c7168,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c7424,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c7680,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c7936,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c8192,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c8448,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c8704,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c8960,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c9216,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c9472,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c9728,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c9984,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c0000,KQ,sza_lt65,0.013671875,37,36,89600.0,89600.0,1,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c0256,KQ,sza_lt65,7.62939453125e-05,4,4,500.0,500.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c0512,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c0768,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c1024,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c10240,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c10496,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c1280,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
