region,sza_bin,chip_stem,ndwi_threshold,band_skipped,cloud_skipped,cloud_fraction,ic_skipped,ic_frac,water_px,iceberg_px,n_polygons,total_area_m2
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c3072,0.05,False,False,0.0,True,0.389617919921875,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c3072,0.1,False,False,0.0,True,0.389617919921875,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c1792,-0.05,False,False,0.0,False,0.0478515625,65536,3136,367,313600.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c1792,0.0,False,False,0.0,False,0.0478515625,65536,3136,367,313600.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c1792,0.05,False,False,0.0,False,0.0478515625,65536,3136,367,313600.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c1792,0.1,False,False,0.0,False,0.0478515625,65529,3129,367,312900.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2048,-0.05,False,False,0.0,False,0.1194000244140625,65536,7825,369,782500.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2048,0.0,False,False,0.0,False,0.1194000244140625,65536,7825,369,782500.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2048,0.05,False,False,0.0,False,0.1194000244140625,65536,7825,369,782500.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2048,0.1,False,False,0.0,False,0.1194000244140625,65504,7793,369,779300.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2304,-0.05,False,False,0.0,True,0.25616455078125,0,0,0,0.0
