region,sza_bin,chip_stem,cloud_fraction,qa60_available
KQ,sza_65_70,S2A_MSIL1C_20160921T141942_N0500_R096_T25WDS_20231005T053545_r8960_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160921T141942_N0500_R096_T25WDS_20231005T053545_r9216_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160921T141942_N0500_R096_T25WDS_20231005T053545_r9216_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160921T141942_N0500_R096_T25WDS_20231005T053545_r9472_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r10240_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r10240_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r10240_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r10496_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r10496_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r10496_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r8448_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r8704_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r8704_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r8960_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r8960_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r9216_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r9216_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r9216_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r9472_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r9472_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r9472_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r9728_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r9728_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r9728_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r9984_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r9984_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r9984_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDS_20230809T203105_r8960_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDS_20230809T203105_r8960_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDS_20230809T203105_r9216_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDS_20230809T203105_r9216_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20170920T140011_N0500_R010_T25WDS_20230809T203105_r9472_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r10240_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r10240_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r10240_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r10496_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r10496_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r10496_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r8448_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r8704_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r8704_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r8960_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r8960_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r9216_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r9216_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r9216_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r9472_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r9472_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r9472_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r9728_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r9728_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r9728_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r9984_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r9984_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDR_20230707T155818_r9984_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDS_20230707T155818_r8960_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDS_20230707T155818_r8960_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDS_20230707T155818_r9216_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDS_20230707T155818_r9216_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WDS_20230707T155818_r9472_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0000_c1280,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0000_c1536,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0000_c1792,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0000_c2048,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0000_c2304,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0000_c2816,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0000_c3072,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0256_c1536,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0256_c1792,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0256_c2048,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0256_c2304,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0256_c2560,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0256_c2816,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0256_c3072,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0512_c1792,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0512_c2048,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0512_c2304,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0512_c2560,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0512_c2816,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0512_c3072,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0768_c1792,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0768_c2048,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0768_c2304,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0768_c2560,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0768_c2816,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r0768_c3072,0.0,True
