chip_stem,region,sza_bin,otsu,fixed_ic,otsu_ic,a_skip,b_skip,outcome
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r6144_c10496,SK,sza_gt75,0.7275359630584717,0.0184783935546875,0.0067901611328125,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r6144_c9984,SK,sza_gt75,0.0008240234456025064,0.0001373291015625,0.91571044921875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r6400_c10240,SK,sza_gt75,0.23231405019760132,0.0013275146484375,0.001129150390625,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r6400_c10496,SK,sza_gt75,0.17729082703590393,0.003448486328125,0.008026123046875,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r6400_c9984,SK,sza_gt75,0.0003529296664055437,0.0,0.9140625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r6656_c10240,SK,sza_gt75,0.19714023172855377,0.0002288818359375,0.00030517578125,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r6656_c10496,SK,sza_gt75,0.13442890346050262,0.0,0.522216796875,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r6656_c9984,SK,sza_gt75,0.0004851562262047082,3.0517578125e-05,0.91363525390625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r6912_c10240,SK,sza_gt75,0.13418886065483093,1.52587890625e-05,0.517608642578125,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r6912_c10496,SK,sza_gt75,0.13401386141777039,0.0,0.5069122314453125,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r6912_c9984,SK,sza_gt75,0.0007781249587424099,0.00042724609375,0.91015625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r7168_c10240,SK,sza_gt75,0.15431718528270721,0.00018310546875,0.002899169921875,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r7168_c10496,SK,sza_gt75,0.13397422432899475,0.0,0.4509429931640625,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r7168_c9984,SK,sza_gt75,0.0005769531126134098,6.103515625e-05,0.91015625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r7424_c10240,SK,sza_gt75,0.13388162851333618,0.0,0.4512939453125,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r7424_c10496,SK,sza_gt75,0.5433913469314575,0.0274658203125,0.01385498046875,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r7424_c9984,SK,sza_gt75,0.000420117168687284,0.0,0.90765380859375,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r7680_c10240,SK,sza_gt75,0.13341698050498962,0.0,0.405731201171875,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r7680_c10496,SK,sza_gt75,0.13362440466880798,0.0,0.4683380126953125,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r7680_c9984,SK,sza_gt75,0.0003029296931345016,0.0,0.90625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r7936_c10240,SK,sza_gt75,0.13350430130958557,0.0,0.3661651611328125,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r7936_c10496,SK,sza_gt75,0.13367889821529388,0.0,0.4755096435546875,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r7936_c9984,SK,sza_gt75,0.0002855468774214387,0.0,0.9055633544921875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r8192_c10240,SK,sza_gt75,0.13330721855163574,0.0,0.3876190185546875,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r8192_c10496,SK,sza_gt75,0.5087132453918457,0.00115966796875,0.0008087158203125,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r8192_c9984,SK,sza_gt75,0.00031757811666466296,0.0,0.90234375,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r8448_c10240,SK,sza_gt75,0.13305507600307465,3.0517578125e-05,0.43701171875,True,False,a_only_skip
