chip_stem,sza_bin,sigma,thresh_3sigma,thresh_otsu,n_recovered_prod,area_recovered_prod_m2,n_recovered_otsu,area_recovered_otsu_m2,n_recovered_3sigma,area_recovered_3sigma_m2,has_base_mask
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4096_c5120,sza_65_70,0.0242962334305048,0.0728887002915144,0.24716190993785858,1,23500.0,2,13400.0,1,20300.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4608_c9216,sza_65_70,0.0034541611094027758,0.010362483328208327,0.04900546744465828,1,1600.0,1,1600.0,4,25600.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r5632_c10496,sza_65_70,0.006397808436304331,0.019193425308912992,0.03704258054494858,1,25700.0,1,31200.0,6,86300.0,True
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r3584_c0512,sza_65_70,0.0010002837516367435,0.0030008512549102306,0.0021083990577608347,0,0.0,67,2999000.0,77,364100.0,True
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r6144_c0512,sza_65_70,0.014772102236747742,0.044316306710243225,0.16309863328933716,1,14200.0,1,9800.0,1,14500.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3584_c3584,sza_65_70,0.05135630816221237,0.15406892448663712,0.14449432492256165,5,288400.0,4,184600.0,4,176900.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3840_c3840,sza_65_70,0.057360805571079254,0.17208241671323776,0.19479981064796448,17,193400.0,5,30600.0,6,36500.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4096_c5376,sza_65_70,0.1110270693898201,0.3330812081694603,0.2599474787712097,40,1755200.0,12,267700.0,10,207900.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4608_c6656,sza_65_70,0.02287604846060276,0.06862814538180828,0.1725267469882965,2,27700.0,3,18500.0,2,25700.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c5632,sza_65_70,0.01986081898212433,0.059582456946372986,0.14652422070503235,3,36100.0,3,24800.0,3,34500.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c8192,sza_65_70,0.012116883881390095,0.036350651644170284,0.13290682435035706,1,15800.0,1,12300.0,1,16800.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c4864,sza_65_70,0.0013633236521854997,0.004089970956556499,0.023943357169628143,0,0.0,0,0.0,2,5400.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c5120,sza_65_70,0.05276671424508095,0.15830014273524284,0.2101949155330658,2,128700.0,1,90200.0,1,102600.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c6400,sza_65_70,0.02161211147904396,0.06483633443713188,0.14099296927452087,1,43700.0,1,34900.0,1,41700.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5632_c4608,sza_65_70,0.021511849015951157,0.06453554704785347,0.09200878441333771,6,105100.0,2,63800.0,7,85900.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r8704_c6656,sza_65_70,0.0008835393819026649,0.0026506181457079947,0.0017994142835959792,0,0.0,39,3181600.0,30,289900.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r8704_c7424,sza_65_70,0.0009896891424432397,0.002969067427329719,0.001886718557216227,0,0.0,70,2988300.0,20,213000.0,True
S2B_MSIL1C_20171001T141959_N0500_R096_T24WVT_20230815T172207_r7936_c10240,sza_65_70,0.0011244965717196465,0.0033734897151589394,0.0015845703892409801,0,0.0,14,3992700.0,2,3900.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9472_c2048,sza_70_75,0.0734359622001648,0.22030788660049438,0.1362919807434082,45,724200.0,3,7100.0,0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9728_c2048,sza_70_75,0.07442095130681992,0.22326285392045975,0.16927969455718994,17,275500.0,8,134400.0,9,80400.0,True
S2A_MSIL1C_20201003T143041_N0500_R139_T24WVT_20230306T133643_r6400_c10496,sza_70_75,0.03593093529343605,0.10779280588030815,0.23670430481433868,2,49800.0,1,33900.0,1,40900.0,True
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r6656_c5632,sza_70_75,0.15666215121746063,0.4699864536523819,0.29500097036361694,32,2960000.0,0,0.0,0,0.0,True
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r7424_c4864,sza_70_75,0.1344585418701172,0.40337562561035156,0.2585501968860626,130,1885800.0,0,0.0,0,0.0,True
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r7936_c2560,sza_70_75,0.09024830907583237,0.2707449272274971,0.17391172051429749,48,1681800.0,14,291700.0,14,158500.0,True
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10496_c1792,sza_70_75,0.057477157562971115,0.17243147268891335,0.14884862303733826,8,280400.0,3,180800.0,3,159500.0,True
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9984_c1792,sza_70_75,0.06462010741233826,0.19386032223701477,0.14298281073570251,73,406200.0,3,10600.0,0,0.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c0512,sza_70_75,0.001986515475437045,0.005959546426311135,0.034725580364465714,0,0.0,0,0.0,1,2000.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c1536,sza_70_75,0.04626961797475815,0.13880885392427444,0.27638787031173706,5,77400.0,4,29700.0,4,50400.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c4096,sza_70_75,0.03537110984325409,0.10611332952976227,0.28839120268821716,2,51000.0,1,18900.0,2,32900.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r10496_c0256,sza_70_75,0.039999980479478836,0.11999994143843651,0.29736053943634033,3,43800.0,1,23600.0,3,36000.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r10496_c1024,sza_70_75,0.02465813048183918,0.07397439144551754,0.2056872844696045,1,31700.0,1,20600.0,1,28800.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r10496_c3072,sza_70_75,0.013398449867963791,0.04019534960389137,0.17099511623382568,1,11100.0,1,8200.0,1,11300.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r1280_c3072,sza_70_75,0.048527345061302185,0.14558203518390656,0.12599726021289825,21,224200.0,3,79700.0,3,62200.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r4608_c6656,sza_70_75,0.029547488316893578,0.08864246495068073,0.2807900309562683,1,24100.0,1,15800.0,1,22700.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r7168_c7168,sza_70_75,0.02114793099462986,0.06344379298388958,0.16734042763710022,3,34300.0,1,21800.0,1,27100.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8192_c2048,sza_70_75,0.04250757396221161,0.12752272188663483,0.20293769240379333,33,274200.0,0,0.0,0,0.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8448_c2816,sza_70_75,0.006946290377527475,0.020838871132582426,0.12716074287891388,1,3000.0,1,1800.0,3,9400.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8448_c3840,sza_70_75,0.005131382029503584,0.015394146088510752,0.05282265692949295,1,2100.0,1,2000.0,2,4800.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8704_c2816,sza_70_75,0.007547563407570124,0.02264269022271037,0.11400097608566284,3,7900.0,2,3400.0,3,10200.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9216_c4352,sza_70_75,0.0025935249868780375,0.007780574960634112,0.02809511497616768,0,0.0,0,0.0,7,16500.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9472_c9728,sza_70_75,0.007325403857976198,0.021976211573928595,0.1502513587474823,1,6800.0,1,2700.0,1,8900.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9728_c0768,sza_70_75,0.025468816980719566,0.0764064509421587,0.18296286463737488,3,24700.0,1,14100.0,3,21800.0,True
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9984_c0768,sza_70_75,0.0071956864558160305,0.02158705936744809,0.08890038728713989,3,7400.0,1,2700.0,3,9700.0,True
S2B_MSIL1C_20181003T141019_N0500_R053_T25WDQ_20230619T164213_r0000_c10496,sza_70_75,0.048473767936229706,0.14542130380868912,0.21617282927036285,15,84100.0,0,0.0,0,0.0,True
S2B_MSIL1C_20181003T141019_N0500_R053_T25WDQ_20230619T164213_r0512_c10496,sza_70_75,0.0166734978556633,0.0500204935669899,0.04955800622701645,11,148000.0,11,149200.0,10,145700.0,True
S2B_MSIL1C_20181003T141019_N0500_R053_T25WEQ_20230619T164213_r0000_c1024,sza_70_75,0.01496405154466629,0.04489215463399887,0.026131248101592064,9,76600.0,30,322100.0,13,103700.0,True
S2B_MSIL1C_20181003T141019_N0500_R053_T25WEQ_20230619T164213_r0512_c0768,sza_70_75,0.00798450130969286,0.02395350392907858,0.036171093583106995,5,27700.0,8,44700.0,10,81400.0,True
S2B_MSIL1C_20201009T140009_N0500_R010_T25WEQ_20230305T173153_r0512_c7168,sza_70_75,0.0014147694455459714,0.004244308336637914,0.002776170615106821,0,0.0,44,3283300.0,32,227700.0,True
S2B_MSIL1C_20201009T140009_N0500_R010_T25WEQ_20230305T173153_r0768_c1280,sza_70_75,0.0030184302013367414,0.009055290604010224,0.013830077834427357,0,0.0,3,61700.0,3,96400.0,True
S2B_MSIL1C_20201009T140009_N0500_R010_T25WES_20230305T173153_r9472_c2048,sza_70_75,0.07576584815979004,0.22729754447937012,0.22003106772899628,95,345500.0,0,0.0,0,0.0,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WDR_20230112T231721_r9472_c10240,sza_70_75,0.01066013053059578,0.03198039159178734,0.155161514878273,1,2100.0,0,0.0,1,2900.0,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WEQ_20230112T231721_r0512_c6144,sza_70_75,0.004062305204570293,0.01218691561371088,0.01901249960064888,0,0.0,4,9700.0,9,23000.0,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r10240_c6400,sza_70_75,0.004207124933600426,0.012621374800801277,0.015175390988588333,0,0.0,14,33500.0,21,54100.0,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3328_c2816,sza_70_75,0.012850228697061539,0.038550686091184616,0.05235292762517929,3,77900.0,3,75200.0,3,88100.0,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3328_c3072,sza_70_75,0.04034637659788132,0.12103912979364395,0.09547655284404755,6,343900.0,12,224200.0,10,166000.0,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3840_c3584,sza_70_75,0.1397443413734436,0.4192330241203308,0.28262245655059814,10,961500.0,17,336500.0,19,217500.0,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3840_c4608,sza_70_75,0.0643547847867012,0.1930643543601036,0.17454785108566284,12,293400.0,10,165600.0,12,152200.0,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r5376_c4096,sza_70_75,0.06753789633512497,0.2026136890053749,0.1966976672410965,30,191600.0,2,10200.0,2,9300.0,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6144_c3840,sza_70_75,0.1152515560388565,0.3457546681165695,0.23700466752052307,69,971900.0,2,21000.0,0,0.0,True
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6912_c5632,sza_70_75,0.006418229080736637,0.01925468724220991,0.01683066412806511,1,1900.0,37,103000.0,28,73200.0,True
