chip_stem,region,sza_bin,otsu_thresh,n_unique_b08
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8960_c1792,KQ,sza_lt65,0.27447226643562317,3689
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8960_c2048,KQ,sza_lt65,0.25603964924812317,4256
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c0256,KQ,sza_lt65,0.31912341713905334,6181
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c0512,KQ,sza_lt65,0.484219491481781,6395
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c0768,KQ,sza_lt65,0.46512264013290405,6255
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c1024,KQ,sza_lt65,0.3916177749633789,4950
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c1280,KQ,sza_lt65,0.4200400114059448,5442
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c1536,KQ,sza_lt65,0.4032959043979645,5134
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c1792,KQ,sza_lt65,0.30992498993873596,5091
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c2048,KQ,sza_lt65,0.2945455014705658,4882
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c0512,KQ,sza_lt65,0.3408244252204895,5562
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c0768,KQ,sza_lt65,0.36290645599365234,6294
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c1024,KQ,sza_lt65,0.4758501946926117,5036
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c1280,KQ,sza_lt65,0.44208651781082153,6062
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c1536,KQ,sza_lt65,0.43423181772232056,5396
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c1792,KQ,sza_lt65,0.4378679692745209,4892
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c2048,KQ,sza_lt65,0.45099273324012756,4917
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c2304,KQ,sza_lt65,0.17063182592391968,4496
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c0768,KQ,sza_lt65,0.1627548635005951,4334
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c1024,KQ,sza_lt65,0.3293830156326294,4489
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c1280,KQ,sza_lt65,0.3657609224319458,5013
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c1536,KQ,sza_lt65,0.49490800499916077,4369
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c1792,KQ,sza_lt65,0.4721863269805908,4978
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c2048,KQ,sza_lt65,0.4491984248161316,4070
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c2304,KQ,sza_lt65,0.2878798842430115,5043
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9984_c1280,KQ,sza_lt65,0.3253195285797119,4230
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9984_c1536,KQ,sza_lt65,0.46319764852523804,3461
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9984_c1792,KQ,sza_lt65,0.37031054496765137,5878
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9984_c2048,KQ,sza_lt65,0.30629608035087585,5086
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9984_c2304,KQ,sza_lt65,0.3171738386154175,4644
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9984_c3072,KQ,sza_lt65,0.18617284297943115,3067
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c1536,KQ,sza_lt65,0.28102678060531616,4788
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c1792,KQ,sza_lt65,0.28663456439971924,4316
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c2048,KQ,sza_lt65,0.2858583927154541,3554
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c2304,KQ,sza_lt65,0.28436774015426636,3089
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c2560,KQ,sza_lt65,0.5530208349227905,8214
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c2816,KQ,sza_lt65,0.5999037027359009,9161
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c3072,KQ,sza_lt65,0.22169119119644165,2914
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10496_c1792,KQ,sza_lt65,0.2690197229385376,4722
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10496_c2048,KQ,sza_lt65,0.28023767471313477,4236
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10496_c2304,KQ,sza_lt65,0.23221737146377563,3462
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10496_c2560,KQ,sza_lt65,0.5439211130142212,9049
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10496_c2816,KQ,sza_lt65,0.5737489461898804,7376
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10496_c3072,KQ,sza_lt65,0.2631974518299103,3219
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8704_c1792,KQ,sza_lt65,0.2913300693035126,4070
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8704_c2048,KQ,sza_lt65,0.24182888865470886,3758
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8960_c0256,KQ,sza_lt65,0.525801956653595,7714
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8960_c0512,KQ,sza_lt65,0.48944181203842163,7392
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8960_c1536,KQ,sza_lt65,0.0011449218727648258,3020
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8960_c1792,KQ,sza_lt65,0.29282891750335693,3898
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8960_c2048,KQ,sza_lt65,0.24144510924816132,3965
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c0256,KQ,sza_lt65,0.3669421672821045,7297
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c0512,KQ,sza_lt65,0.5595759153366089,7346
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c0768,KQ,sza_lt65,0.5166597366333008,6418
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c1024,KQ,sza_lt65,0.3268337845802307,4824
